Zone,Country,ISO3,Year, Population , PCDEA , MDI , PIMII ,Fortification
Subsaharan Africa,Angola,AGO,1983," 8,490,000 "," 1,731 ", 0.88 , 40.97 ,0
Subsaharan Africa,Angola,AGO,1984," 8,785,000 "," 1,674 ", 0.90 , 39.91 ,0
Subsaharan Africa,Angola,AGO,1985," 9,064,000 "," 1,686 ", 0.91 , 37.51 ,0
Subsaharan Africa,Angola,AGO,1986," 9,321,000 "," 1,641 ", 0.89 , 43.43 ,0
Subsaharan Africa,Angola,AGO,1987," 9,561,000 "," 1,631 ", 0.89 , 43.88 ,0
Subsaharan Africa,Angola,AGO,1988," 9,798,000 "," 1,607 ", 0.90 , 45.41 ,0
Subsaharan Africa,Angola,AGO,1989," 10,051,000 "," 1,587 ", 0.91 , 45.02 ,0
Subsaharan Africa,Angola,AGO,1990," 10,334,000 "," 1,640 ", 0.89 , 47.32 ,0
Subsaharan Africa,Angola,AGO,1991," 10,653,000 "," 1,613 ", 0.86 , 53.59 ,0
Subsaharan Africa,Angola,AGO,1992," 11,003,000 "," 1,625 ", 0.86 , 52.62 ,0
Subsaharan Africa,Angola,AGO,1993," 11,372,000 "," 1,563 ", 0.84 , 57.31 ,0
Subsaharan Africa,Angola,AGO,1994," 11,743,000 "," 1,639 ", 0.87 , 50.33 ,0
Subsaharan Africa,Angola,AGO,1995," 12,105,000 "," 1,684 ", 0.86 , 49.90 ,0
Subsaharan Africa,Angola,AGO,1996," 12,452,000 "," 1,728 ", 0.85 , 48.45 ,0
Subsaharan Africa,Angola,AGO,1997," 12,791,000 "," 1,730 ", 0.86 , 46.64 ,0
Subsaharan Africa,Angola,AGO,1998," 13,138,000 "," 1,751 ", 0.85 , 48.11 ,0
Subsaharan Africa,Angola,AGO,1999," 13,511,000 "," 1,804 ", 0.83 , 48.51 ,0
Subsaharan Africa,Angola,AGO,2000," 13,925,000 "," 1,789 ", 0.84 , 45.73 ,0
Subsaharan Africa,Angola,AGO,2001," 14,385,000 "," 1,833 ", 0.85 , 42.40 ,0
Subsaharan Africa,Angola,AGO,2002," 14,887,000 "," 1,916 ", 0.85 , 38.91 ,0
Subsaharan Africa,Angola,AGO,2003," 15,421,000 "," 1,978 ", 0.84 , 37.79 ,0
Subsaharan Africa,Angola,AGO,2004," 15,977,000 "," 2,032 ", 0.83 , 37.28 ,0
Subsaharan Africa,Angola,AGO,2005," 16,544,000 "," 2,073 ", 0.83 , 34.74 ,0
Subsaharan Africa,Angola,AGO,2006," 17,122,000 "," 2,114 ", 0.84 , 32.90 ,0
Subsaharan Africa,Angola,AGO,2007," 17,713,000 "," 2,178 ", 0.86 , 28.67 ,0
Subsaharan Africa,Angola,AGO,2008," 18,314,000 "," 2,244 ", 0.87 , 24.88 ,0
Subsaharan Africa,Angola,AGO,2009," 18,927,000 "," 2,300 ", 0.88 , 22.33 ,0
Subsaharan Africa,Angola,AGO,2010," 19,549,000 "," 2,338 ", 0.87 , 21.87 ,0
Subsaharan Africa,Angola,AGO,2011," 20,180,000 "," 2,404 ", 0.88 , 19.58 ,1
Subsaharan Africa,Angola,AGO,2011," 20,180,000 "," 2,404 ", 0.88 , 19.58 ,0
Other,Albania,ALB,1961," 1,669,000 "," 2,224 ", 0.88 , 24.47 ,0
Other,Albania,ALB,1962," 1,719,000 "," 2,239 ", 0.88 , 25.11 ,0
Other,Albania,ALB,1963," 1,771,000 "," 2,155 ", 0.89 , 24.75 ,0
Other,Albania,ALB,1964," 1,822,000 "," 2,270 ", 0.88 , 23.54 ,0
Other,Albania,ALB,1965," 1,874,000 "," 2,253 ", 0.88 , 24.03 ,0
Other,Albania,ALB,1966," 1,926,000 "," 2,253 ", 0.85 , 28.23 ,0
Other,Albania,ALB,1967," 1,979,000 "," 2,264 ", 0.86 , 27.35 ,0
Other,Albania,ALB,1968," 2,031,000 "," 2,341 ", 0.84 , 27.96 ,0
Other,Albania,ALB,1969," 2,085,000 "," 2,404 ", 0.85 , 26.31 ,0
Other,Albania,ALB,1970," 2,139,000 "," 2,414 ", 0.87 , 22.61 ,0
Other,Albania,ALB,1971," 2,195,000 "," 2,360 ", 0.87 , 23.76 ,0
Other,Albania,ALB,1972," 2,251,000 "," 2,384 ", 0.88 , 23.42 ,0
Other,Albania,ALB,1973," 2,309,000 "," 2,432 ", 0.87 , 22.94 ,0
Other,Albania,ALB,1974," 2,367,000 "," 2,492 ", 0.87 , 21.95 ,0
Other,Albania,ALB,1975," 2,427,000 "," 2,491 ", 0.85 , 24.28 ,0
Other,Albania,ALB,1976," 2,486,000 "," 2,680 ", 0.86 , 20.17 ,0
Other,Albania,ALB,1977," 2,547,000 "," 2,778 ", 0.86 , 18.74 ,0
Other,Albania,ALB,1978," 2,608,000 "," 2,688 ", 0.87 , 18.62 ,0
Other,Albania,ALB,1979," 2,671,000 "," 2,607 ", 0.87 , 19.82 ,0
Other,Albania,ALB,1980," 2,735,000 "," 2,597 ", 0.87 , 20.35 ,0
Other,Albania,ALB,1981," 2,799,000 "," 2,676 ", 0.88 , 18.77 ,0
Other,Albania,ALB,1982," 2,864,000 "," 2,666 ", 0.88 , 18.54 ,0
Other,Albania,ALB,1983," 2,930,000 "," 2,799 ", 0.88 , 16.96 ,0
Other,Albania,ALB,1984," 3,001,000 "," 2,719 ", 0.87 , 18.85 ,0
Other,Albania,ALB,1985," 3,078,000 "," 2,564 ", 0.87 , 21.89 ,0
Other,Albania,ALB,1986," 3,162,000 "," 2,689 ", 0.87 , 20.16 ,0
Other,Albania,ALB,1987," 3,252,000 "," 2,493 ", 0.88 , 22.46 ,0
Other,Albania,ALB,1988," 3,336,000 "," 2,596 ", 0.85 , 23.61 ,0
Other,Albania,ALB,1989," 3,404,000 "," 2,569 ", 0.88 , 20.23 ,0
Other,Albania,ALB,1990," 3,447,000 "," 2,560 ", 0.90 , 18.13 ,0
Other,Albania,ALB,1991," 3,460,000 "," 2,573 ", 0.90 , 17.44 ,0
Other,Albania,ALB,1992," 3,447,000 "," 2,660 ", 0.93 , 11.40 ,0
Other,Albania,ALB,1993," 3,417,000 "," 2,793 ", 0.94 , 7.64 ,0
Other,Albania,ALB,1994," 3,384,000 "," 2,876 ", 0.95 , 6.22 ,0
Other,Albania,ALB,1995," 3,358,000 "," 2,718 ", 0.95 , 6.70 ,0
Other,Albania,ALB,1996," 3,341,000 "," 2,832 ", 0.95 , 5.69 ,0
Other,Albania,ALB,1997," 3,331,000 "," 2,722 ", 0.95 , 6.96 ,0
Other,Albania,ALB,1998," 3,325,000 "," 2,723 ", 0.95 , 6.08 ,0
Other,Albania,ALB,1999," 3,318,000 "," 2,790 ", 0.95 , 5.68 ,0
Other,Albania,ALB,2000," 3,305,000 "," 2,733 ", 0.95 , 5.68 ,0
Other,Albania,ALB,2001," 3,286,000 "," 2,792 ", 0.98 , 2.93 ,0
Other,Albania,ALB,2002," 3,264,000 "," 2,859 ", 0.98 , 2.54 ,0
Other,Albania,ALB,2003," 3,239,000 "," 2,766 ", 0.98 , 2.51 ,0
Other,Albania,ALB,2004," 3,216,000 "," 2,783 ", 0.99 , 1.78 ,0
Other,Albania,ALB,2005," 3,196,000 "," 2,867 ", 0.98 , 2.19 ,0
Other,Albania,ALB,2006," 3,180,000 "," 2,847 ", 0.99 , 1.66 ,0
Other,Albania,ALB,2007," 3,166,000 "," 2,860 ", 0.99 , 1.68 ,0
Other,Albania,ALB,2008," 3,157,000 "," 2,893 ", 0.99 , 1.45 ,0
Other,Albania,ALB,2009," 3,151,000 "," 2,932 ", 0.99 , 1.49 ,0
Other,Albania,ALB,2010," 3,150,000 "," 2,984 ", 0.99 , 1.06 ,0
Other,Albania,ALB,2011," 3,154,000 "," 3,016 ", 0.99 , 0.91 ,0
Other,Albania,ALB,2011," 3,154,000 "," 3,016 ", 0.99 , 0.75 ,1
WCANA,United Arab Emirates,ARE,1961," 98,000 "," 2,892 ", 0.83 , 20.13 ,0
WCANA,United Arab Emirates,ARE,1962," 109,000 "," 2,773 ", 0.82 , 22.85 ,0
WCANA,United Arab Emirates,ARE,1963," 122,000 "," 2,735 ", 0.80 , 24.94 ,0
WCANA,United Arab Emirates,ARE,1964," 134,000 "," 2,624 ", 0.80 , 28.08 ,0
WCANA,United Arab Emirates,ARE,1965," 146,000 "," 2,587 ", 0.78 , 31.70 ,0
WCANA,United Arab Emirates,ARE,1966," 157,000 "," 2,679 ", 0.83 , 24.19 ,0
WCANA,United Arab Emirates,ARE,1967," 167,000 "," 2,765 ", 0.84 , 20.76 ,0
WCANA,United Arab Emirates,ARE,1968," 181,000 "," 2,917 ", 0.86 , 15.94 ,0
WCANA,United Arab Emirates,ARE,1969," 201,000 "," 2,926 ", 0.88 , 12.91 ,0
WCANA,United Arab Emirates,ARE,1970," 232,000 "," 2,922 ", 0.91 , 9.83 ,0
WCANA,United Arab Emirates,ARE,1971," 272,000 "," 2,780 ", 0.90 , 15.07 ,0
WCANA,United Arab Emirates,ARE,1972," 322,000 "," 2,702 ", 0.91 , 16.16 ,0
WCANA,United Arab Emirates,ARE,1973," 383,000 "," 3,325 ", 0.92 , 4.41 ,0
WCANA,United Arab Emirates,ARE,1974," 453,000 "," 2,990 ", 0.97 , 3.76 ,0
WCANA,United Arab Emirates,ARE,1975," 533,000 "," 3,124 ", 0.95 , 3.54 ,0
WCANA,United Arab Emirates,ARE,1976," 623,000 "," 3,132 ", 1.00 , 1.16 ,0
WCANA,United Arab Emirates,ARE,1977," 724,000 "," 3,120 ", 0.98 , 1.51 ,0
WCANA,United Arab Emirates,ARE,1978," 827,000 "," 3,169 ", 0.98 , 1.30 ,0
WCANA,United Arab Emirates,ARE,1979," 926,000 "," 3,060 ", 0.99 , 1.84 ,0
WCANA,United Arab Emirates,ARE,1980," 1,015,000 "," 3,377 ", 0.98 , 1.43 ,0
WCANA,United Arab Emirates,ARE,1981," 1,091,000 "," 3,384 ", 0.97 , 1.53 ,0
WCANA,United Arab Emirates,ARE,1982," 1,156,000 "," 3,418 ", 0.99 , 0.53 ,0
WCANA,United Arab Emirates,ARE,1983," 1,215,000 "," 3,474 ", 0.99 , 0.46 ,0
WCANA,United Arab Emirates,ARE,1984," 1,277,000 "," 3,634 ", 1.00 , 0.26 ,0
WCANA,United Arab Emirates,ARE,1985," 1,347,000 "," 3,459 ", 0.99 , 0.37 ,0
WCANA,United Arab Emirates,ARE,1986," 1,427,000 "," 3,407 ", 1.00 , 0.36 ,0
WCANA,United Arab Emirates,ARE,1987," 1,515,000 "," 3,512 ", 1.00 , 0.37 ,0
WCANA,United Arab Emirates,ARE,1988," 1,609,000 "," 3,381 ", 0.99 , 0.44 ,0
WCANA,United Arab Emirates,ARE,1989," 1,707,000 "," 3,367 ", 1.00 , 0.41 ,0
WCANA,United Arab Emirates,ARE,1990," 1,806,000 "," 3,067 ", 1.00 , 0.56 ,0
WCANA,United Arab Emirates,ARE,1991," 1,908,000 "," 3,072 ", 1.00 , 0.68 ,0
WCANA,United Arab Emirates,ARE,1992," 2,013,000 "," 3,191 ", 1.00 , 0.52 ,0
WCANA,United Arab Emirates,ARE,1993," 2,121,000 "," 3,228 ", 1.00 , 0.54 ,0
WCANA,United Arab Emirates,ARE,1994," 2,232,000 "," 3,296 ", 1.00 , 0.54 ,0
WCANA,United Arab Emirates,ARE,1995," 2,346,000 "," 3,238 ", 1.00 , 0.50 ,0
WCANA,United Arab Emirates,ARE,1996," 2,471,000 "," 3,239 ", 1.00 , 0.87 ,0
WCANA,United Arab Emirates,ARE,1997," 2,609,000 "," 3,247 ", 0.98 , 1.40 ,0
WCANA,United Arab Emirates,ARE,1998," 2,753,000 "," 3,298 ", 0.98 , 1.10 ,0
WCANA,United Arab Emirates,ARE,1999," 2,894,000 "," 3,368 ", 0.98 , 0.84 ,0
WCANA,United Arab Emirates,ARE,2000," 3,026,000 "," 3,289 ", 0.98 , 1.24 ,0
WCANA,United Arab Emirates,ARE,2001," 3,132,000 "," 3,314 ", 0.97 , 1.90 ,0
WCANA,United Arab Emirates,ARE,2002," 3,224,000 "," 3,347 ", 0.97 , 1.60 ,0
WCANA,United Arab Emirates,ARE,2003," 3,369,000 "," 3,338 ", 0.97 , 2.06 ,0
WCANA,United Arab Emirates,ARE,2004," 3,659,000 "," 3,277 ", 0.96 , 2.65 ,0
WCANA,United Arab Emirates,ARE,2005," 4,149,000 "," 3,212 ", 0.94 , 6.41 ,0
WCANA,United Arab Emirates,ARE,2006," 4,876,000 "," 3,190 ", 0.96 , 3.13 ,0
WCANA,United Arab Emirates,ARE,2007," 5,797,000 "," 3,180 ", 0.95 , 5.08 ,0
WCANA,United Arab Emirates,ARE,2008," 6,799,000 "," 3,144 ", 0.97 , 3.12 ,0
WCANA,United Arab Emirates,ARE,2009," 7,718,000 "," 3,138 ", 0.96 , 5.41 ,0
WCANA,United Arab Emirates,ARE,2010," 8,442,000 "," 3,149 ", 0.95 , 6.58 ,0
WCANA,United Arab Emirates,ARE,2011," 8,925,000 "," 3,201 ", 0.94 , 6.29 ,1
WCANA,United Arab Emirates,ARE,2011," 8,925,000 "," 3,201 ", 0.94 , 6.59 ,0
Latin America,Argentina,ARG,1961," 20,959,000 "," 3,106 ", 0.96 , 5.49 ,0
Latin America,Argentina,ARG,1962," 21,295,000 "," 3,078 ", 0.96 , 6.20 ,0
Latin America,Argentina,ARG,1963," 21,631,000 "," 3,030 ", 0.96 , 6.27 ,0
Latin America,Argentina,ARG,1964," 21,964,000 "," 3,080 ", 0.97 , 4.68 ,0
Latin America,Argentina,ARG,1965," 22,294,000 "," 3,179 ", 0.96 , 5.60 ,0
Latin America,Argentina,ARG,1966," 22,619,000 "," 3,143 ", 0.96 , 5.93 ,0
Latin America,Argentina,ARG,1967," 22,941,000 "," 3,216 ", 0.95 , 5.88 ,0
Latin America,Argentina,ARG,1968," 23,269,000 "," 3,267 ", 0.96 , 5.33 ,0
Latin America,Argentina,ARG,1969," 23,613,000 "," 3,306 ", 0.96 , 5.07 ,0
Latin America,Argentina,ARG,1970," 23,979,000 "," 3,329 ", 0.96 , 5.04 ,0
Latin America,Argentina,ARG,1971," 24,371,000 "," 3,170 ", 0.96 , 5.15 ,0
Latin America,Argentina,ARG,1972," 24,786,000 "," 3,060 ", 0.96 , 5.24 ,0
Latin America,Argentina,ARG,1973," 25,215,000 "," 3,010 ", 0.97 , 5.26 ,0
Latin America,Argentina,ARG,1974," 25,647,000 "," 3,197 ", 0.96 , 5.40 ,0
Latin America,Argentina,ARG,1975," 26,070,000 "," 3,255 ", 0.96 , 5.25 ,0
Latin America,Argentina,ARG,1976," 26,484,000 "," 3,186 ", 0.95 , 6.35 ,0
Latin America,Argentina,ARG,1977," 26,890,000 "," 3,169 ", 0.95 , 6.49 ,0
Latin America,Argentina,ARG,1978," 27,293,000 "," 3,230 ", 0.95 , 6.32 ,0
Latin America,Argentina,ARG,1979," 27,701,000 "," 3,207 ", 0.96 , 5.65 ,0
Latin America,Argentina,ARG,1980," 28,120,000 "," 3,221 ", 0.96 , 5.41 ,0
Latin America,Argentina,ARG,1981," 28,550,000 "," 3,201 ", 0.95 , 6.31 ,0
Latin America,Argentina,ARG,1982," 28,989,000 "," 3,062 ", 0.96 , 6.89 ,0
Latin America,Argentina,ARG,1983," 29,435,000 "," 2,987 ", 0.96 , 7.30 ,0
Latin America,Argentina,ARG,1984," 29,887,000 "," 3,035 ", 0.95 , 7.00 ,0
Latin America,Argentina,ARG,1985," 30,340,000 "," 3,110 ", 0.95 , 6.51 ,0
Latin America,Argentina,ARG,1986," 30,796,000 "," 3,025 ", 0.95 , 7.41 ,0
Latin America,Argentina,ARG,1987," 31,255,000 "," 3,097 ", 0.96 , 5.95 ,0
Latin America,Argentina,ARG,1988," 31,713,000 "," 3,011 ", 0.97 , 5.41 ,0
Latin America,Argentina,ARG,1989," 32,170,000 "," 2,959 ", 0.96 , 6.12 ,0
Latin America,Argentina,ARG,1990," 32,625,000 "," 2,915 ", 0.96 , 7.26 ,0
Latin America,Argentina,ARG,1991," 33,075,000 "," 3,008 ", 0.96 , 6.22 ,0
Latin America,Argentina,ARG,1992," 33,521,000 "," 3,074 ", 0.95 , 6.43 ,0
Latin America,Argentina,ARG,1993," 33,962,000 "," 3,110 ", 0.95 , 6.35 ,0
Latin America,Argentina,ARG,1994," 34,399,000 "," 3,155 ", 0.96 , 5.27 ,0
Latin America,Argentina,ARG,1995," 34,833,000 "," 3,162 ", 0.96 , 5.21 ,0
Latin America,Argentina,ARG,1996," 35,264,000 "," 3,154 ", 0.97 , 4.24 ,0
Latin America,Argentina,ARG,1997," 35,691,000 "," 3,133 ", 0.96 , 4.30 ,0
Latin America,Argentina,ARG,1998," 36,109,000 "," 3,167 ", 0.96 , 4.71 ,0
Latin America,Argentina,ARG,1999," 36,515,000 "," 3,263 ", 0.95 , 4.79 ,0
Latin America,Argentina,ARG,2000," 36,903,000 "," 3,256 ", 0.96 , 4.63 ,0
Latin America,Argentina,ARG,2001," 37,273,000 "," 3,220 ", 0.95 , 5.36 ,0
Latin America,Argentina,ARG,2002," 37,628,000 "," 2,984 ", 0.95 , 7.09 ,0
Latin America,Argentina,ARG,2003," 37,970,000 "," 3,009 ", 0.95 , 7.38 ,0
Latin America,Argentina,ARG,2004," 38,309,000 "," 3,031 ", 0.94 , 8.59 ,0
Latin America,Argentina,ARG,2005," 38,648,000 "," 3,100 ", 0.96 , 6.51 ,0
Latin America,Argentina,ARG,2006," 38,989,000 "," 3,109 ", 0.95 , 7.00 ,0
Latin America,Argentina,ARG,2007," 39,331,000 "," 3,134 ", 0.95 , 7.51 ,0
Latin America,Argentina,ARG,2008," 39,676,000 "," 3,154 ", 0.95 , 7.33 ,0
Latin America,Argentina,ARG,2009," 40,024,000 "," 3,127 ", 0.94 , 8.11 ,0
Latin America,Argentina,ARG,2010," 40,374,000 "," 3,156 ", 0.95 , 7.42 ,0
Latin America,Argentina,ARG,2011," 40,729,000 "," 3,153 ", 0.95 , 7.63 ,0
Latin America,Argentina,ARG,2011," 40,729,000 "," 3,153 ", 0.98 , 3.86 ,1
WCANA,Armenia,ARM,1992," 3,449,000 "," 2,183 ", 0.93 , 20.56 ,0
WCANA,Armenia,ARM,1993," 3,370,000 "," 2,102 ", 0.89 , 30.26 ,0
WCANA,Armenia,ARM,1994," 3,290,000 "," 2,250 ", 0.93 , 19.58 ,0
WCANA,Armenia,ARM,1995," 3,223,000 "," 2,269 ", 0.93 , 19.91 ,0
WCANA,Armenia,ARM,1996," 3,173,000 "," 2,413 ", 0.90 , 21.04 ,0
WCANA,Armenia,ARM,1997," 3,138,000 "," 2,332 ", 0.90 , 23.05 ,0
WCANA,Armenia,ARM,1998," 3,113,000 "," 2,310 ", 0.92 , 20.50 ,0
WCANA,Armenia,ARM,1999," 3,094,000 "," 2,279 ", 0.92 , 20.16 ,0
WCANA,Armenia,ARM,2000," 3,076,000 "," 2,233 ", 0.93 , 21.84 ,0
WCANA,Armenia,ARM,2001," 3,060,000 "," 2,244 ", 0.93 , 20.47 ,0
WCANA,Armenia,ARM,2002," 3,047,000 "," 2,288 ", 0.94 , 17.47 ,0
WCANA,Armenia,ARM,2003," 3,036,000 "," 2,452 ", 0.95 , 13.41 ,0
WCANA,Armenia,ARM,2004," 3,026,000 "," 2,548 ", 0.97 , 8.69 ,0
WCANA,Armenia,ARM,2005," 3,015,000 "," 2,652 ", 0.98 , 5.83 ,0
WCANA,Armenia,ARM,2006," 3,003,000 "," 2,749 ", 0.98 , 4.09 ,0
WCANA,Armenia,ARM,2007," 2,990,000 "," 2,786 ", 0.99 , 2.92 ,0
WCANA,Armenia,ARM,2008," 2,977,000 "," 2,830 ", 0.99 , 2.49 ,0
WCANA,Armenia,ARM,2009," 2,968,000 "," 2,783 ", 0.99 , 2.09 ,0
WCANA,Armenia,ARM,2010," 2,963,000 "," 2,782 ", 0.99 , 2.92 ,0
WCANA,Armenia,ARM,2011," 2,964,000 "," 2,802 ", 0.99 , 2.59 ,1
WCANA,Armenia,ARM,2011," 2,964,000 "," 2,802 ", 0.99 , 2.59 ,0
Latin America,Antigua and Barbuda,ATG,1961," 55,000 "," 2,007 ", 0.90 , 31.17 ,0
Latin America,Antigua and Barbuda,ATG,1962," 56,000 "," 2,184 ", 0.86 , 32.17 ,0
